| 14003 | G1 | 가장 긴 증가하는 부분 수열 5 | 연습문제 | [문제](https://www.acmicpc.net/problem/14003) / [풀이](/solutions/%5BG1%5D14003%20가장%20긴%20증가하는%20부분%20수열%205/) | [![python3](/assets/python3.svg)](/solutions/%5BG1%5D14003%20가장%20긴%20증가하는%20부분%20수열%205/submit.py)  |
| 2098 | G1 | 외판원 순회 | 연습문제 | [문제](https://www.acmicpc.net/problem/2098) / [풀이](/solutions/%5BG1%5D2098%20외판원%20순회/) | [![python3](/assets/python3.svg)](/solutions/%5BG1%5D2098%20외판원%20순회/submit.py)  |
| 2568 | G1 | 전깃줄 - 2 | 연습문제 | [문제](https://www.acmicpc.net/problem/2568) / [풀이](/solutions/%5BG1%5D2568%20전깃줄%20-%202/) | [![python3](/assets/python3.svg)](/solutions/%5BG1%5D2568%20전깃줄%20-%202/submit.py)  |
| 3197 | G1 | 백조의 호수 | 연습문제 | [문제](https://www.acmicpc.net/problem/3197) / [풀이](/solutions/%5BG1%5D3197%20백조의%20호수/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG1%5D3197%20백조의%20호수/submit.cpp)  |
| 10942 | G2 | 팰린드롬 | 연습문제 | [문제](https://www.acmicpc.net/problem/10942) / [풀이](/solutions/%5BG2%5D10942%20팰린드롬/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D10942%20팰린드롬/submit.py)  |
| 12015 | G2 | 가장 긴 증가하는 부분 수열 2 | 연습문제 | [문제](https://www.acmicpc.net/problem/12015) / [풀이](/solutions/%5BG2%5D12015%20가장%20긴%20증가하는%20부분%20수열%202/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D12015%20가장%20긴%20증가하는%20부분%20수열%202/submit.py)  |
| 13334 | G2 | 철로 | 연습문제 | [문제](https://www.acmicpc.net/problem/13334) / [풀이](/solutions/%5BG2%5D13334%20철로/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D13334%20철로/submit.py)  |
| 14725 | G2 | 개미굴 | 연습문제 | [문제](https://www.acmicpc.net/problem/14725) / [풀이](/solutions/%5BG2%5D14725%20개미굴/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D14725%20개미굴/submit.py)  |
| 17143 | G2 | 낚시왕 | 연습문제 | [문제](https://www.acmicpc.net/problem/17143) / [풀이](/solutions/%5BG2%5D17143%20낚시왕/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D17143%20낚시왕/submit.py)  |
| 17837 | G2 | 새로운 게임 2 | 연습문제 | [문제](https://www.acmicpc.net/problem/17837) / [풀이](/solutions/%5BG2%5D17837%20새로운%20게임%202/) | [![python3](/assets/python3.svg)](/solutions/%5BG2%5D17837%20새로운%20게임%202/submit.py)  |
| 2208 | G2 | 보석 줍기 | 연습문제 | [문제](https://www.acmicpc.net/problem/2208) / [풀이](/solutions/%5BG2%5D2208%20보석%20줍기/) | [![cpp](/assets/cpp.svg)](/solutions/%5BG2%5D2208%20보석%20줍기/submit.cpp)  |
